numVotes,stillExists,uid,liked,disliked,liked_churned_people,voteDate,vote,Happiness,Activity,likes,dislikes,txt_len
70,True,7556aec740f1ef260003e307d6,26,12,1,736095.5857142857,3.557142857142857,-0.009932557548135719,125,1.0,0.0,27.0
75,True,7656aec740f1ef260003e307d6,38,1,1,736071.1733333333,3.44,-0.003508885404130283,297,1.0,0.26666666666666666,9.8
194,True,7956aec740f1ef260003e307d6,191,222,1,736222.5,4.0,-0.0,413,11.038461538461538,1.1538461538461537,258.11538461538464
20,True,8356aec740f1ef260003e307d6,28,8,1,736148.35,3.6,-0.00254449124665131,389,7.882352941176471,1.1764705882352942,103.52941176470588
55,True,8456aec740f1ef260003e307d6,87,3,1,736111.9090909091,3.036363636363636,6.782672593726188e-05,382,4.333333333333333,0.5555555555555556,66.77777777777777
9,True,8656aec740f1ef260003e307d6,1,1,0,736181.0,2.5555555555555554,0.0036482968503648294,275,2.0,0.3333333333333333,17.0
85,True,8756aec740f1ef260003e307d6,32,7,1,736190.2470588235,3.9647058823529413,-0.0006905234882144743,401,4.0,0.0,39.5
155,True,8956aec740f1ef260003e307d6,152,40,1,736233.8903225807,3.0,-0.001896708241102104,362,17.0,3.6363636363636362,92.81818181818181
120,False,9056aec740f1ef260003e307d6,87,7,1,736094.725,3.158333333333333,-0.0012872350824521892,189,3.7142857142857144,0.5714285714285714,34.523809523809526
54,True,9156aec740f1ef260003e307d6,131,20,1,736226.7777777778,3.2962962962962963,-0.0003277646882387532,382,7.071428571428571,0.35714285714285715,89.64285714285714
74,True,9256aec740f1ef260003e307d6,102,10,1,736239.3243243244,2.6621621621621623,0.004981918748952026,402,4.0,0.5,27.0
100,True,9456aec740f1ef260003e307d6,122,15,1,736114.69,2.61,0.001139226228917182,403,1.303030303030303,0.5454545454545454,15.303030303030303
95,True,9556aec740f1ef260003e307d6,193,6,1,736261.3368421053,3.3684210526315788,-0.0004952208263241774,403,5.606060606060606,0.5151515151515151,94.42424242424242
85,True,9656aec740f1ef260003e307d6,53,19,1,736237.0470588235,2.2823529411764705,0.0046288613350498695,329,4.833333333333333,0.6666666666666666,70.66666666666667
17,True,9756aec740f1ef260003e307d6,15,0,0,736257.7058823529,2.176470588235294,0.00044318371723055754,387,8.0,0.0,102.0
20,True,9856aec740f1ef260003e307d6,9,0,0,736233.45,3.5,-0.0016862573143711743,401,17.75,0.5,205.25
37,True,9956aec740f1ef260003e307d6,10,0,0,736319.7567567568,3.135135135135135,-0.003984398038506322,161,11.0,1.3333333333333333,87.5
187,True,10056aec740f1ef260003e307d6,288,2,1,736292.3101604278,4.0,-0.0,276,5.433333333333334,0.8333333333333334,64.43333333333334
312,True,10156aec740f1ef260003e307d6,932,282,1,736248.9871794871,2.6634615384615383,0.005101417381424864,368,5.2727272727272725,0.8181818181818182,51.18181818181818
245,True,10256aec740f1ef260003e307d6,209,114,1,736271.4693877551,3.7551020408163267,-0.004538438316784294,413,13.0625,3.25,145.1875
201,True,10356aec740f1ef260003e307d6,215,39,1,736248.4825870647,3.945273631840796,-0.0009195846423721543,406,5.964285714285714,1.3214285714285714,75.96428571428571
35,True,10456aec740f1ef260003e307d6,30,5,0,736055.8,3.5714285714285716,-0.008422770433443664,149,6.125,0.75,35.75
77,True,10556aec740f1ef260003e307d6,59,4,1,736107.2987012987,2.987012987012987,-0.0010908221539006767,401,5.166666666666667,1.3333333333333333,47.166666666666664
205,True,10756aec740f1ef260003e307d6,61,14,1,736173.3365853658,2.824390243902439,-0.0004211430058110215,395,6.352941176470588,0.7058823529411765,60.23529411764706
82,True,10856aec740f1ef260003e307d6,102,11,1,736178.3170731707,3.2804878048780486,-0.003164284069763768,387,5.305555555555555,1.0833333333333333,43.0
180,True,11456aec740f1ef260003e307d6,455,264,1,736216.35,1.4833333333333334,0.0017540824285146668,385,4.305343511450381,3.312977099236641,84.25190839694656
118,True,11656aec740f1ef260003e307d6,191,57,1,736193.2372881356,3.889830508474576,-0.0006186751430896669,369,8.416666666666666,2.1666666666666665,90.08333333333333
